Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection,AI_Adoption_Score,Automation_Risk_Score,Job_Growth_Score
Cybersecurity Analyst,Entertainment,Small,Dubai,Medium,High,UX/UI Design,111392,Yes,Growth,2,3,3
Marketing Specialist,Technology,Large,Singapore,Medium,High,Marketing,93793,No,Decline,2,3,1
AI Researcher,Technology,Large,Singapore,Medium,High,UX/UI Design,107170,Yes,Growth,2,3,3
Sales Manager,Retail,Small,Berlin,Low,High,Project Management,93028,No,Growth,1,3,3
Cybersecurity Analyst,Entertainment,Small,Tokyo,Low,Low,JavaScript,87753,Yes,Decline,1,1,1
UX Designer,Education,Large,San Francisco,Medium,Medium,Cybersecurity,102825,No,Growth,2,2,3
HR Manager,Finance,Medium,Singapore,Low,High,Sales,102066,Yes,Growth,1,3,3
Cybersecurity Analyst,Technology,Small,Dubai,Medium,Low,Machine Learning,86607,Yes,Decline,2,1,1
AI Researcher,Retail,Large,London,High,Low,JavaScript,75016,No,Stable,3,1,2
Sales Manager,Entertainment,Medium,Singapore,High,Low,Cybersecurity,96835,Yes,Decline,3,1,1
Marketing Specialist,Finance,Small,London,High,High,Python,91567,Yes,Growth,3,3,3
AI Researcher,Entertainment,Medium,Singapore,Medium,High,UX/UI Design,78903,No,Growth,2,3,3
AI Researcher,Transportation,Large,San Francisco,High,Medium,Python,73152,Yes,Growth,3,2,3
HR Manager,Retail,Small,Paris,Low,High,Cybersecurity,98210,Yes,Decline,1,3,1
Product Manager,Finance,Medium,Singapore,High,High,JavaScript,101002,Yes,Growth,3,3,3
Sales Manager,Telecommunications,Small,Dubai,High,Low,UX/UI Design,82799,No,Growth,3,1,3
Software Engineer,Manufacturing,Medium,Singapore,High,Medium,Machine Learning,78401,No,Decline,3,2,1
AI Researcher,Manufacturing,Large,Tokyo,Low,High,Project Management,73395,No,Stable,1,3,2
Product Manager,Finance,Large,San Francisco,Medium,High,UX/UI Design,97645,Yes,Stable,2,3,2
Software Engineer,Entertainment,Small,Dubai,Low,Low,UX/UI Design,73920,Yes,Growth,1,1,3
Sales Manager,Retail,Medium,Sydney,Medium,Low,JavaScript,134823,Yes,Decline,2,1,1
Data Scientist,Manufacturing,Small,Dubai,Medium,High,JavaScript,81794,Yes,Growth,2,3,3
UX Designer,Retail,Small,Tokyo,High,Medium,Cybersecurity,41496,No,Decline,3,2,1
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,89397,Yes,Decline,2,2,1
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,88539,Yes,Stable,1,1,2
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,112234,Yes,Stable,1,1,2
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,95763,No,Decline,2,3,1
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,73323,Yes,Growth,3,1,3
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,84272,Yes,Stable,3,3,2
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,96548,Yes,Growth,1,2,3
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,46706,Yes,Stable,3,2,2
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,116772,Yes,Stable,2,3,2
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,73377,No,Growth,2,1,3
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,118341,Yes,Stable,1,2,2
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,97849,Yes,Stable,2,1,2
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,102592,Yes,Growth,1,2,3
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,112988,Yes,Stable,2,3,2
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,101463,Yes,Stable,1,3,2
Software Engineer,Telecommunications,Small,New York,High,High,Python,103458,Yes,Stable,3,3,2
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,86712,Yes,Growth,2,2,3
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,97443,Yes,Decline,2,1,1
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,78250,Yes,Growth,1,1,3
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,83132,Yes,Decline,1,1,1
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,129294,No,Stable,2,2,2
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,73836,No,Decline,1,2,1
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,93086,No,Growth,2,2,3
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,92269,No,Growth,3,2,3
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,83785,Yes,Stable,1,2,2
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,100288,No,Decline,2,1,1
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,101794,No,Stable,3,2,2
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,71484,Yes,Stable,3,2,2
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,92027,No,Growth,2,1,3
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,68353,No,Decline,1,2,1
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,105771,Yes,Decline,2,1,1
AI Researcher,Education,Medium,London,High,Low,Communication,93530,Yes,Decline,3,1,1
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,91647,Yes,Decline,2,3,1
Software Engineer,Technology,Small,Paris,Low,High,Sales,103181,No,Stable,1,3,2
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,84490,No,Stable,3,3,2
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,108280,Yes,Growth,2,3,3
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,71031,Yes,Stable,1,2,2
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,118238,No,Stable,3,3,2
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,78982,Yes,Growth,1,1,3
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,56076,No,Growth,3,2,3
UX Designer,Education,Large,Toronto,Medium,High,Project Management,83429,Yes,Growth,2,3,3
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,81161,Yes,Stable,1,1,2
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,83279,No,Stable,3,2,2
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,94633,Yes,Growth,1,2,3
AI Researcher,Finance,Small,New York,Low,High,JavaScript,111957,Yes,Growth,1,3,3
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,86166,Yes,Growth,2,2,3
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,76168,No,Stable,1,1,2
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,67469,Yes,Stable,3,2,2
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,80636,Yes,Decline,3,1,1
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,52244,Yes,Stable,3,2,2
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497,Yes,Stable,3,3,2
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881,Yes,Stable,2,1,2
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73533,Yes,Growth,1,2,3
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,102574,No,Stable,2,2,2
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470,No,Growth,1,2,3
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125422,Yes,Decline,1,1,1
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,126752,No,Decline,1,1,1
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820,No,Growth,2,1,3
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825,Yes,Growth,1,3,3
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,97116,No,Growth,2,3,3
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370,No,Stable,3,1,2
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115239,No,Decline,3,2,1
AI Researcher,Education,Large,New York,Low,High,Sales,93594,No,Growth,1,3,3
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952,No,Stable,2,1,2
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779,No,Decline,3,2,1
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80563,No,Stable,2,3,2
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049,No,Decline,2,2,1
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95958,Yes,Stable,1,2,2
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101326,Yes,Decline,3,2,1
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93003,No,Decline,1,2,1
